TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,14-08-2024
Start Time:,20:12:38
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,92
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:12:39
,Date of Minimum:,14-08-2024
,Maximum:,0.000
,Time of Maximum:,20:12:39
,Date of Maximum:,14-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
14-08-2024,20:12:39,0.000
14-08-2024,20:12:40,0.000
14-08-2024,20:12:41,0.000
14-08-2024,20:12:42,0.000
14-08-2024,20:12:43,0.000
14-08-2024,20:12:44,0.000
14-08-2024,20:12:45,0.000
14-08-2024,20:12:46,0.000
14-08-2024,20:12:47,0.000
14-08-2024,20:12:48,0.000
14-08-2024,20:12:49,0.000
14-08-2024,20:12:50,0.000
14-08-2024,20:12:51,0.000
14-08-2024,20:12:52,0.000
14-08-2024,20:12:53,0.000
14-08-2024,20:12:54,0.000
14-08-2024,20:12:55,0.000
14-08-2024,20:12:56,0.000
14-08-2024,20:12:57,0.000
14-08-2024,20:12:58,0.000
14-08-2024,20:12:59,0.000
14-08-2024,20:13:00,0.000
14-08-2024,20:13:01,0.000
14-08-2024,20:13:02,0.000
14-08-2024,20:13:03,0.000
14-08-2024,20:13:04,0.000
14-08-2024,20:13:05,0.000
14-08-2024,20:13:06,0.000
14-08-2024,20:13:07,0.000
14-08-2024,20:13:08,0.000
14-08-2024,20:13:09,0.000
14-08-2024,20:13:10,0.000
14-08-2024,20:13:11,0.000
14-08-2024,20:13:12,0.000
14-08-2024,20:13:13,0.000
14-08-2024,20:13:14,0.000
14-08-2024,20:13:15,0.000
14-08-2024,20:13:16,0.000
14-08-2024,20:13:17,0.000
