TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,16-09-2024
Start Time:,20:30:55
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,65
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:30:56
,Date of Minimum:,16-09-2024
,Maximum:,0.000
,Time of Maximum:,20:30:56
,Date of Maximum:,16-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
16-09-2024,20:30:56,0.000
16-09-2024,20:30:57,0.000
16-09-2024,20:30:58,0.000
16-09-2024,20:30:59,0.000
16-09-2024,20:31:00,0.000
16-09-2024,20:31:01,0.000
16-09-2024,20:31:02,0.000
16-09-2024,20:31:03,0.000
16-09-2024,20:31:04,0.000
16-09-2024,20:31:05,0.000
16-09-2024,20:31:06,0.000
16-09-2024,20:31:07,0.000
16-09-2024,20:31:08,0.000
16-09-2024,20:31:09,0.000
16-09-2024,20:31:10,0.000
16-09-2024,20:31:11,0.000
16-09-2024,20:31:12,0.000
16-09-2024,20:31:13,0.000
16-09-2024,20:31:14,0.000
16-09-2024,20:31:15,0.000
16-09-2024,20:31:16,0.000
16-09-2024,20:31:17,0.000
16-09-2024,20:31:18,0.000
16-09-2024,20:31:19,0.000
16-09-2024,20:31:20,0.000
16-09-2024,20:31:21,0.000
16-09-2024,20:31:22,0.000
16-09-2024,20:31:23,0.000
16-09-2024,20:31:24,0.000
16-09-2024,20:31:25,0.000
16-09-2024,20:31:26,0.000
16-09-2024,20:31:27,0.000
16-09-2024,20:31:28,0.000
16-09-2024,20:31:29,0.000
16-09-2024,20:31:30,0.000
16-09-2024,20:31:31,0.000
16-09-2024,20:31:32,0.000
16-09-2024,20:31:33,0.000
16-09-2024,20:31:34,0.000
16-09-2024,20:31:35,0.000
16-09-2024,20:31:36,0.000
16-09-2024,20:31:37,0.000
16-09-2024,20:31:38,0.000
16-09-2024,20:31:39,0.000
16-09-2024,20:31:40,0.000
16-09-2024,20:31:41,0.000
16-09-2024,20:31:42,0.000
16-09-2024,20:31:43,0.000
16-09-2024,20:31:44,0.000
16-09-2024,20:31:45,0.000
16-09-2024,20:31:46,0.000
16-09-2024,20:31:47,0.000
16-09-2024,20:31:48,0.000
16-09-2024,20:31:49,0.000
16-09-2024,20:31:50,0.000
16-09-2024,20:31:51,0.000
16-09-2024,20:31:52,0.000
16-09-2024,20:31:53,0.000
16-09-2024,20:31:54,0.000
16-09-2024,20:31:55,0.000
16-09-2024,20:31:56,0.000
16-09-2024,20:31:57,0.000
16-09-2024,20:31:58,0.000
16-09-2024,20:31:59,0.000
16-09-2024,20:32:00,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 3 LONCO_002
Start Date:,16-09-2024
Start Time:,20:32:21
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,186
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.028
,Minimum:,0.025
,Time of Minimum:,20:33:21
,Date of Minimum:,16-09-2024
,Maximum:,0.031
,Time of Maximum:,20:33:52
,Date of Maximum:,16-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
16-09-2024,20:32:22,0.027
16-09-2024,20:32:23,0.027
16-09-2024,20:32:24,0.029
16-09-2024,20:32:25,0.028
16-09-2024,20:32:26,0.027
16-09-2024,20:32:27,0.028
16-09-2024,20:32:28,0.028
16-09-2024,20:32:29,0.029
16-09-2024,20:32:30,0.028
16-09-2024,20:32:31,0.027
16-09-2024,20:32:32,0.027
16-09-2024,20:32:33,0.028
16-09-2024,20:32:34,0.027
16-09-2024,20:32:35,0.028
16-09-2024,20:32:36,0.030
16-09-2024,20:32:37,0.027
16-09-2024,20:32:38,0.028
16-09-2024,20:32:39,0.029
16-09-2024,20:32:40,0.028
16-09-2024,20:32:41,0.026
16-09-2024,20:32:42,0.027
16-09-2024,20:32:43,0.028
