TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,11-09-2024
Start Time:,20:17:46
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,64
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:17:47
,Date of Minimum:,11-09-2024
,Maximum:,0.000
,Time of Maximum:,20:17:47
,Date of Maximum:,11-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
11-09-2024,20:17:47,0.000
11-09-2024,20:17:48,0.000
11-09-2024,20:17:49,0.000
11-09-2024,20:17:50,0.000
11-09-2024,20:17:51,0.000
11-09-2024,20:17:52,0.000
11-09-2024,20:17:53,0.000
11-09-2024,20:17:54,0.000
11-09-2024,20:17:55,0.000
11-09-2024,20:17:56,0.000
11-09-2024,20:17:57,0.000
11-09-2024,20:17:58,0.000
11-09-2024,20:17:59,0.000
11-09-2024,20:18:00,0.000
11-09-2024,20:18:01,0.000
11-09-2024,20:18:02,0.000
11-09-2024,20:18:03,0.000
11-09-2024,20:18:04,0.000
11-09-2024,20:18:05,0.000
11-09-2024,20:18:06,0.000
11-09-2024,20:18:07,0.000
11-09-2024,20:18:08,0.000
11-09-2024,20:18:09,0.000
11-09-2024,20:18:10,0.000
11-09-2024,20:18:11,0.000
11-09-2024,20:18:12,0.000
11-09-2024,20:18:13,0.000
11-09-2024,20:18:14,0.000
11-09-2024,20:18:15,0.000
11-09-2024,20:18:16,0.000
11-09-2024,20:18:17,0.000
11-09-2024,20:18:18,0.000
11-09-2024,20:18:19,0.000
11-09-2024,20:18:20,0.000
11-09-2024,20:18:21,0.000
11-09-2024,20:18:22,0.000
11-09-2024,20:18:23,0.000
11-09-2024,20:18:24,0.000
11-09-2024,20:18:25,0.000
11-09-2024,20:18:26,0.000
11-09-2024,20:18:27,0.000
11-09-2024,20:18:28,0.000
11-09-2024,20:18:29,0.000
11-09-2024,20:18:30,0.000
11-09-2024,20:18:31,0.000
11-09-2024,20:18:32,0.000
11-09-2024,20:18:33,0.000
11-09-2024,20:18:34,0.000
11-09-2024,20:18:35,0.000
11-09-2024,20:18:36,0.000
11-09-2024,20:18:37,0.000
11-09-2024,20:18:38,0.000
11-09-2024,20:18:39,0.000
11-09-2024,20:18:40,0.000
11-09-2024,20:18:41,0.000
11-09-2024,20:18:42,0.000
11-09-2024,20:18:43,0.000
11-09-2024,20:18:44,0.000
11-09-2024,20:18:45,0.000
11-09-2024,20:18:46,0.000
11-09-2024,20:18:47,0.000
11-09-2024,20:18:48,0.000
11-09-2024,20:18:49,0.000
11-09-2024,20:18:50,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 3 LONCO_002
Start Date:,11-09-2024
Start Time:,20:20:43
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,186
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.062
,Minimum:,0.057
,Time of Minimum:,20:23:13
,Date of Minimum:,11-09-2024
,Maximum:,0.071
,Time of Maximum:,20:22:17
,Date of Maximum:,11-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
11-09-2024,20:20:44,0.059
11-09-2024,20:20:45,0.062
11-09-2024,20:20:46,0.061
11-09-2024,20:20:47,0.060
11-09-2024,20:20:48,0.060
11-09-2024,20:20:49,0.058
11-09-2024,20:20:50,0.062
11-09-2024,20:20:51,0.061
11-09-2024,20:20:52,0.062
11-09-2024,20:20:53,0.064
11-09-2024,20:20:54,0.068
11-09-2024,20:20:55,0.063
11-09-2024,20:20:56,0.060
11-09-2024,20:20:57,0.058
11-09-2024,20:20:58,0.058
11-09-2024,20:20:59,0.060
11-09-2024,20:21:00,0.063
11-09-2024,20:21:01,0.065
11-09-2024,20:21:02,0.061
11-09-2024,20:21:03,0.062
11-09-2024,20:21:04,0.063
11-09-2024,20:21:05,0.061
11-09-2024,20:21:06,0.062
11-09-2024,20:21:07,0.065
11-09-2024,20:21:08,0.064
11-09-2024,20:21:09,0.060
11-09-2024,20:21:10,0.060
11-09-2024,20:21:11,0.063
11-09-2024,20:21:12,0.061
11-09-2024,20:21:13,0.059
11-09-2024,20:21:14,0.060
11-09-2024,20:21:15,0.059
11-09-2024,20:21:16,0.061
11-09-2024,20:21:17,0.061
11-09-2024,20:21:18,0.059
11-09-2024,20:21:19,0.059
11-09-2024,20:21:20,0.061
11-09-2024,20:21:21,0.059
11-09-2024,20:21:22,0.061
11-09-2024,20:21:23,0.063
11-09-2024,20:21:24,0.062
11-09-2024,20:21:25,0.065
11-09-2024,20:21:26,0.061
11-09-2024,20:21:27,0.061
11-09-2024,20:21:28,0.062
11-09-2024,20:21:29,0.064
11-09-2024,20:21:30,0.062
11-09-2024,20:21:31,0.062
11-09-2024,20:21:32,0.062
11-09-2024,20:21:33,0.063
11-09-2024,20:21:34,0.062
11-09-2024,20:21:35,0.063
11-09-2024,20:21:36,0.061
11-09-2024,20:21:37,0.060
11-09-2024,20:21:38,0.061
11-09-2024,20:21:39,0.061
11-09-2024,20:21:40,0.061
11-09-2024,20:21:41,0.062
11-09-2024,20:21:42,0.063
11-09-2024,20:21:43,0.065
11-09-2024,20:21:44,0.064
11-09-2024,20:21:45,0.065
11-09-2024,20:21:46,0.062
11-09-2024,20:21:47,0.063
11-09-2024,20:21:48,0.065
11-09-2024,20:21:49,0.061
11-09-2024,20:21:50,0.059
11-09-2024,20:21:51,0.060
11-09-2024,20:21:52,0.062
11-09-2024,20:21:53,0.062
11-09-2024,20:21:54,0.059
11-09-2024,20:21:55,0.058
11-09-2024,20:21:56,0.060
11-09-2024,20:21:57,0.061
11-09-2024,20:21:58,0.060
11-09-2024,20:21:59,0.060
11-09-2024,20:22:00,0.059
11-09-2024,20:22:01,0.059
11-09-2024,20:22:02,0.060
11-09-2024,20:22:03,0.060
11-09-2024,20:22:04,0.060
11-09-2024,20:22:05,0.060
11-09-2024,20:22:06,0.058
11-09-2024,20:22:07,0.058
11-09-2024,20:22:08,0.058
11-09-2024,20:22:09,0.058
11-09-2024,20:22:10,0.058
11-09-2024,20:22:11,0.064
11-09-2024,20:22:12,0.062
11-09-2024,20:22:13,0.062
11-09-2024,20:22:14,0.065
