TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,12-09-2024
Start Time:,20:06:52
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,62
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,-0.001
,Minimum:,-0.002
,Time of Minimum:,20:07:27
,Date of Minimum:,12-09-2024
,Maximum:,0.000
,Time of Maximum:,20:06:53
,Date of Maximum:,12-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
12-09-2024,20:06:53,0.000
12-09-2024,20:06:54,0.000
12-09-2024,20:06:55,0.000
12-09-2024,20:06:56,0.000
12-09-2024,20:06:57,0.000
12-09-2024,20:06:58,0.000
12-09-2024,20:06:59,0.000
12-09-2024,20:07:00,0.000
12-09-2024,20:07:01,0.000
12-09-2024,20:07:02,0.000
12-09-2024,20:07:03,0.000
12-09-2024,20:07:04,0.000
12-09-2024,20:07:05,0.000
12-09-2024,20:07:06,0.000
12-09-2024,20:07:07,0.000
12-09-2024,20:07:08,0.000
12-09-2024,20:07:09,0.000
12-09-2024,20:07:10,0.000
12-09-2024,20:07:11,0.000
12-09-2024,20:07:12,0.000
12-09-2024,20:07:13,0.000
12-09-2024,20:07:14,0.000
12-09-2024,20:07:15,-0.001
12-09-2024,20:07:16,-0.001
12-09-2024,20:07:17,0.000
12-09-2024,20:07:18,0.000
12-09-2024,20:07:19,0.000
12-09-2024,20:07:20,0.000
12-09-2024,20:07:21,0.000
12-09-2024,20:07:22,0.000
12-09-2024,20:07:23,-0.001
12-09-2024,20:07:24,-0.001
12-09-2024,20:07:25,-0.001
12-09-2024,20:07:26,-0.001
12-09-2024,20:07:27,-0.002
12-09-2024,20:07:28,-0.002
12-09-2024,20:07:29,-0.001
12-09-2024,20:07:30,-0.001
12-09-2024,20:07:31,0.000
12-09-2024,20:07:32,0.000
12-09-2024,20:07:33,-0.001
12-09-2024,20:07:34,-0.001
12-09-2024,20:07:35,-0.002
12-09-2024,20:07:36,-0.002
12-09-2024,20:07:37,-0.001
12-09-2024,20:07:38,-0.001
12-09-2024,20:07:39,-0.001
12-09-2024,20:07:40,-0.001
12-09-2024,20:07:41,-0.001
12-09-2024,20:07:42,-0.001
12-09-2024,20:07:43,-0.002
