TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,26-09-2024
Start Time:,20:56:04
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,64
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,-0.001
,Time of Minimum:,20:56:06
,Date of Minimum:,26-09-2024
,Maximum:,0.003
,Time of Maximum:,20:56:36
,Date of Maximum:,26-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
26-09-2024,21:00:13,0.045
26-09-2024,21:00:14,0.047
26-09-2024,21:00:15,0.046
26-09-2024,21:00:16,0.045
26-09-2024,21:00:17,0.046
26-09-2024,21:00:18,0.045
26-09-2024,21:00:19,0.044
26-09-2024,21:00:20,0.045
26-09-2024,21:00:21,0.046
26-09-2024,21:00:22,0.047
26-09-2024,21:00:23,0.045
26-09-2024,21:00:24,0.044
26-09-2024,21:00:25,0.045
26-09-2024,21:00:26,0.045
26-09-2024,21:00:27,0.045
26-09-2024,21:00:28,0.050
26-09-2024,21:00:29,0.050
26-09-2024,21:00:30,0.045
26-09-2024,21:00:31,0.044
26-09-2024,21:00:32,0.046
26-09-2024,21:00:33,0.050
26-09-2024,21:00:34,0.049
26-09-2024,21:00:35,0.046
26-09-2024,21:00:36,0.047
26-09-2024,21:00:37,0.049
26-09-2024,21:00:38,0.048
26-09-2024,21:00:39,0.044
26-09-2024,21:00:40,0.045
26-09-2024,21:00:41,0.048
26-09-2024,21:00:42,0.046
26-09-2024,21:00:43,0.045
26-09-2024,21:00:44,0.044
26-09-2024,21:00:45,0.045
26-09-2024,21:00:46,0.047
26-09-2024,21:00:47,0.045
26-09-2024,21:00:48,0.044
26-09-2024,21:00:49,0.045
26-09-2024,21:00:50,0.048
26-09-2024,21:00:51,0.047
26-09-2024,21:00:52,0.046
26-09-2024,21:00:53,0.045
26-09-2024,21:00:54,0.045
26-09-2024,21:00:55,0.047
26-09-2024,21:00:56,0.046
26-09-2024,21:00:57,0.046
26-09-2024,21:00:58,0.047
26-09-2024,21:00:59,0.047
26-09-2024,21:01:00,0.047
26-09-2024,21:01:01,0.047
26-09-2024,21:01:02,0.049
26-09-2024,21:01:03,0.052
26-09-2024,21:01:04,0.049
26-09-2024,21:01:05,0.046
26-09-2024,21:01:06,0.048
26-09-2024,21:01:07,0.048
26-09-2024,21:01:08,0.048
26-09-2024,21:01:09,0.048
26-09-2024,21:01:10,0.048
26-09-2024,21:01:11,0.047
26-09-2024,21:01:12,0.048
26-09-2024,21:01:13,0.048
26-09-2024,21:01:14,0.048
26-09-2024,21:01:15,0.049
26-09-2024,21:01:16,0.047
26-09-2024,21:01:17,0.047
26-09-2024,21:01:18,0.047
26-09-2024,21:01:19,0.048
26-09-2024,21:01:20,0.051
26-09-2024,21:01:21,0.049
26-09-2024,21:01:22,0.043
26-09-2024,21:01:23,0.045
26-09-2024,21:01:24,0.047
26-09-2024,21:01:25,0.049
26-09-2024,21:01:26,0.049
26-09-2024,21:01:27,0.047
26-09-2024,21:01:28,0.044
26-09-2024,21:01:29,0.047
26-09-2024,21:01:30,0.045
26-09-2024,21:01:31,0.046
26-09-2024,21:01:32,0.046
26-09-2024,21:01:33,0.048
26-09-2024,21:01:34,0.048
26-09-2024,21:01:35,0.053
26-09-2024,21:01:36,0.055
26-09-2024,21:01:37,0.053
26-09-2024,21:01:38,0.055
26-09-2024,21:01:39,0.048
26-09-2024,21:01:40,0.047
26-09-2024,21:01:41,0.046
26-09-2024,21:01:42,0.048
26-09-2024,21:01:43,0.050
26-09-2024,21:01:44,0.052
26-09-2024,21:01:45,0.049
26-09-2024,21:01:46,0.051
26-09-2024,21:01:47,0.054
26-09-2024,21:01:48,0.051
26-09-2024,21:01:49,0.050
26-09-2024,21:01:50,0.054
26-09-2024,21:01:51,0.053
26-09-2024,21:01:52,0.050
26-09-2024,21:01:53,0.048
26-09-2024,21:01:54,0.051
26-09-2024,21:01:55,0.054
26-09-2024,21:01:56,0.050
26-09-2024,21:01:57,0.048
26-09-2024,21:01:58,0.048
26-09-2024,21:01:59,0.049
26-09-2024,21:02:00,0.049
26-09-2024,21:02:01,0.051
26-09-2024,21:02:02,0.050
26-09-2024,21:02:03,0.048
26-09-2024,21:02:04,0.048
26-09-2024,21:02:05,0.050
26-09-2024,21:02:06,0.050
26-09-2024,21:02:07,0.051
26-09-2024,21:02:08,0.049
26-09-2024,21:02:09,0.049
26-09-2024,21:02:10,0.051
26-09-2024,21:02:11,0.051
26-09-2024,21:02:12,0.052
26-09-2024,21:02:13,0.050
26-09-2024,21:02:14,0.051
26-09-2024,21:02:15,0.050
26-09-2024,21:02:16,0.047
26-09-2024,21:02:17,0.049
26-09-2024,21:02:18,0.050
26-09-2024,21:02:19,0.047
26-09-2024,21:02:20,0.050

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,003
Test Abbreviation:,TEST 3 LONCO_003
Start Date:,26-09-2024
Start Time:,21:32:09
Duration (dd:hh:mm:ss):,0:00:30:00
Log Interval (mm:ss):,00:01
Number of points:,1806
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.158
,Minimum:,0.028
,Time of Minimum:,21:54:51
,Date of Minimum:,26-09-2024
,Maximum:,0.884
,Time of Maximum:,21:44:28
,Date of Maximum:,26-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
26-09-2024,21:32:10,0.252
26-09-2024,21:32:11,0.259
26-09-2024,21:32:12,0.261
26-09-2024,21:32:13,0.256
26-09-2024,21:32:14,0.251
26-09-2024,21:32:15,0.260
26-09-2024,21:32:16,0.265
26-09-2024,21:32:17,0.256
26-09-2024,21:32:18,0.260
26-09-2024,21:32:19,0.259
26-09-2024,21:32:20,0.257
26-09-2024,21:32:21,0.250
26-09-2024,21:32:22,0.251
26-09-2024,21:32:23,0.252
26-09-2024,21:32:24,0.239
26-09-2024,21:32:25,0.235
26-09-2024,21:32:26,0.243
26-09-2024,21:32:27,0.256
26-09-2024,21:32:28,0.257
26-09-2024,21:32:29,0.263
26-09-2024,21:32:30,0.266
26-09-2024,21:32:31,0.273
26-09-2024,21:32:32,0.276
26-09-2024,21:32:33,0.274
26-09-2024,21:32:34,0.280
26-09-2024,21:32:35,0.282
26-09-2024,21:32:36,0.281
26-09-2024,21:32:37,0.279
26-09-2024,21:32:38,0.287
26-09-2024,21:32:39,0.290
26-09-2024,21:32:40,0.287
26-09-2024,21:32:41,0.289
26-09-2024,21:32:42,0.287
26-09-2024,21:32:43,0.288
26-09-2024,21:32:44,0.294
