TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,14-09-2024
Start Time:,20:07:21
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,66
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,-0.002
,Time of Minimum:,20:07:22
,Date of Minimum:,14-09-2024
,Maximum:,0.008
,Time of Maximum:,20:07:32
,Date of Maximum:,14-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
14-09-2024,20:07:22,-0.002
14-09-2024,20:07:23,-0.001
14-09-2024,20:07:24,0.000
14-09-2024,20:07:25,0.000
14-09-2024,20:07:26,0.000
14-09-2024,20:07:27,0.000
14-09-2024,20:07:28,0.000
14-09-2024,20:07:29,0.000
14-09-2024,20:07:30,0.000
14-09-2024,20:07:31,0.001
14-09-2024,20:07:32,0.008
14-09-2024,20:07:33,0.000
14-09-2024,20:07:34,0.000
14-09-2024,20:07:35,0.000
14-09-2024,20:07:36,0.000
14-09-2024,20:07:37,0.001
14-09-2024,20:07:38,0.000
14-09-2024,20:07:39,0.000
14-09-2024,20:07:40,0.000
14-09-2024,20:07:41,0.000
14-09-2024,20:07:42,0.000
14-09-2024,20:07:43,0.000
14-09-2024,20:07:44,0.000
14-09-2024,20:07:45,0.000
14-09-2024,20:07:46,0.000
14-09-2024,20:07:47,0.000
14-09-2024,20:07:48,0.000
14-09-2024,20:07:49,0.000
14-09-2024,20:07:50,0.000
14-09-2024,20:07:51,0.000
14-09-2024,20:07:52,0.000
14-09-2024,20:07:53,0.000
14-09-2024,20:07:54,0.000
14-09-2024,20:07:55,0.000
14-09-2024,20:07:56,0.000
14-09-2024,20:07:57,0.000
14-09-2024,20:07:58,0.000
14-09-2024,20:07:59,0.000
14-09-2024,20:08:00,0.000
14-09-2024,20:08:01,0.000
14-09-2024,20:08:02,0.001
14-09-2024,20:08:03,0.000
14-09-2024,20:08:04,0.000
14-09-2024,20:08:05,0.000
14-09-2024,20:08:06,0.000
14-09-2024,20:08:07,0.000
14-09-2024,20:08:08,0.000
14-09-2024,20:08:09,0.002
14-09-2024,20:08:10,0.002
14-09-2024,20:08:11,0.000
14-09-2024,20:08:12,0.000
14-09-2024,20:08:13,0.001
14-09-2024,20:08:14,0.000
14-09-2024,20:08:15,0.000
14-09-2024,20:08:16,0.000
14-09-2024,20:08:17,0.000
14-09-2024,20:08:18,0.000
14-09-2024,20:08:19,0.000
14-09-2024,20:08:20,0.000
14-09-2024,20:08:21,0.000
14-09-2024,20:08:22,0.000
14-09-2024,20:08:23,0.000
14-09-2024,20:08:24,0.000
14-09-2024,20:08:25,0.001
14-09-2024,20:08:26,0.002
14-09-2024,20:08:27,0.002

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 3 LONCO_002
Start Date:,14-09-2024
Start Time:,20:09:04
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,183
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.050
,Minimum:,0.045
,Time of Minimum:,20:09:41
,Date of Minimum:,14-09-2024
,Maximum:,0.062
,Time of Maximum:,20:11:58
,Date of Maximum:,14-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
14-09-2024,20:09:05,0.051
14-09-2024,20:09:06,0.050
14-09-2024,20:09:07,0.050
14-09-2024,20:09:08,0.051
14-09-2024,20:09:09,0.050
14-09-2024,20:09:10,0.048
14-09-2024,20:09:11,0.050
14-09-2024,20:09:12,0.050
14-09-2024,20:09:13,0.050
14-09-2024,20:09:14,0.047
14-09-2024,20:09:15,0.047
14-09-2024,20:09:16,0.049
14-09-2024,20:09:17,0.050
14-09-2024,20:09:18,0.051
14-09-2024,20:09:19,0.050
14-09-2024,20:09:20,0.048
14-09-2024,20:09:21,0.047
14-09-2024,20:09:22,0.049
14-09-2024,20:09:23,0.049
14-09-2024,20:09:24,0.050
14-09-2024,20:09:25,0.051
14-09-2024,20:09:26,0.048
14-09-2024,20:09:27,0.048
14-09-2024,20:09:28,0.047
14-09-2024,20:09:29,0.049
14-09-2024,20:09:30,0.050
14-09-2024,20:09:31,0.049
14-09-2024,20:09:32,0.047
14-09-2024,20:09:33,0.047
14-09-2024,20:09:34,0.049
14-09-2024,20:09:35,0.051
14-09-2024,20:09:36,0.053
