TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,15-09-2024
Start Time:,20:03:24
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,63
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:03:25
,Date of Minimum:,15-09-2024
,Maximum:,0.000
,Time of Maximum:,20:03:25
,Date of Maximum:,15-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
15-09-2024,20:03:25,0.000
15-09-2024,20:03:26,0.000
15-09-2024,20:03:27,0.000
15-09-2024,20:03:28,0.000
15-09-2024,20:03:29,0.000
15-09-2024,20:03:30,0.000
15-09-2024,20:03:31,0.000
15-09-2024,20:03:32,0.000
15-09-2024,20:03:33,0.000
15-09-2024,20:03:34,0.000
15-09-2024,20:03:35,0.000
15-09-2024,20:03:36,0.000
15-09-2024,20:03:37,0.000
15-09-2024,20:03:38,0.000
15-09-2024,20:03:39,0.000
15-09-2024,20:03:40,0.000
15-09-2024,20:03:41,0.000
15-09-2024,20:03:42,0.000
15-09-2024,20:03:43,0.000
15-09-2024,20:03:44,0.000
15-09-2024,20:03:45,0.000
15-09-2024,20:03:46,0.000
15-09-2024,20:03:47,0.000
15-09-2024,20:03:48,0.000
15-09-2024,20:03:49,0.000
15-09-2024,20:03:50,0.000
15-09-2024,20:03:51,0.000
15-09-2024,20:03:52,0.000
15-09-2024,20:03:53,0.000
15-09-2024,20:03:54,0.000
15-09-2024,20:03:55,0.000
15-09-2024,20:03:56,0.000
15-09-2024,20:03:57,0.000
15-09-2024,20:03:58,0.000
15-09-2024,20:03:59,0.000
15-09-2024,20:04:00,0.000
15-09-2024,20:04:01,0.000
15-09-2024,20:04:02,0.000
15-09-2024,20:04:03,0.000
15-09-2024,20:04:04,0.000
15-09-2024,20:04:05,0.000
15-09-2024,20:04:06,0.000
15-09-2024,20:04:07,0.000
15-09-2024,20:04:08,0.000
15-09-2024,20:04:09,0.000
15-09-2024,20:04:10,0.000
15-09-2024,20:04:11,0.000
15-09-2024,20:04:12,0.000
15-09-2024,20:04:13,0.000
15-09-2024,20:04:14,0.000
15-09-2024,20:04:15,0.000
15-09-2024,20:04:16,0.000
15-09-2024,20:04:17,0.000
15-09-2024,20:04:18,0.000
15-09-2024,20:04:19,0.000
15-09-2024,20:04:20,0.000
15-09-2024,20:04:21,0.000
15-09-2024,20:04:22,0.000
15-09-2024,20:04:23,0.000
15-09-2024,20:04:24,0.000
15-09-2024,20:04:25,0.000
15-09-2024,20:04:26,0.000
15-09-2024,20:04:27,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 3 LONCO_002
Start Date:,15-09-2024
Start Time:,20:04:52
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,186
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.096
,Minimum:,0.087
,Time of Minimum:,20:05:11
,Date of Minimum:,15-09-2024
,Maximum:,0.105
,Time of Maximum:,20:07:03
,Date of Maximum:,15-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
15-09-2024,20:04:53,0.093
15-09-2024,20:04:54,0.091
15-09-2024,20:04:55,0.091
15-09-2024,20:04:56,0.092
15-09-2024,20:04:57,0.092
15-09-2024,20:04:58,0.093
15-09-2024,20:04:59,0.088
15-09-2024,20:05:00,0.089
15-09-2024,20:05:01,0.093
15-09-2024,20:05:02,0.092
15-09-2024,20:05:03,0.090
15-09-2024,20:05:04,0.094
15-09-2024,20:05:05,0.090
15-09-2024,20:05:06,0.089
15-09-2024,20:05:07,0.089
15-09-2024,20:05:08,0.092
15-09-2024,20:05:09,0.092
15-09-2024,20:05:10,0.088
15-09-2024,20:05:11,0.087
15-09-2024,20:05:12,0.090
15-09-2024,20:05:13,0.091
15-09-2024,20:05:14,0.090
15-09-2024,20:05:15,0.088
15-09-2024,20:05:16,0.092
15-09-2024,20:05:17,0.095
15-09-2024,20:05:18,0.091
15-09-2024,20:05:19,0.088
15-09-2024,20:05:20,0.089
15-09-2024,20:05:21,0.092
15-09-2024,20:05:22,0.091
15-09-2024,20:05:23,0.091
15-09-2024,20:05:24,0.092
15-09-2024,20:05:25,0.091
15-09-2024,20:05:26,0.089
15-09-2024,20:05:27,0.089
15-09-2024,20:05:28,0.090
15-09-2024,20:05:29,0.091
15-09-2024,20:05:30,0.089
15-09-2024,20:05:31,0.094
15-09-2024,20:05:32,0.094
15-09-2024,20:05:33,0.091
15-09-2024,20:05:34,0.093
15-09-2024,20:05:35,0.092
15-09-2024,20:05:36,0.092
15-09-2024,20:05:37,0.091
15-09-2024,20:05:38,0.089
15-09-2024,20:05:39,0.089
15-09-2024,20:05:40,0.093
15-09-2024,20:05:41,0.097
15-09-2024,20:05:42,0.095
15-09-2024,20:05:43,0.095
15-09-2024,20:05:44,0.092
15-09-2024,20:05:45,0.094
15-09-2024,20:05:46,0.093
15-09-2024,20:05:47,0.093
15-09-2024,20:05:48,0.093
15-09-2024,20:05:49,0.093
15-09-2024,20:05:50,0.097
15-09-2024,20:05:51,0.098
15-09-2024,20:05:52,0.098
15-09-2024,20:05:53,0.095
15-09-2024,20:05:54,0.094
15-09-2024,20:05:55,0.098
15-09-2024,20:05:56,0.098
15-09-2024,20:05:57,0.095
15-09-2024,20:05:58,0.093
15-09-2024,20:05:59,0.093
15-09-2024,20:06:00,0.096
15-09-2024,20:06:01,0.098
15-09-2024,20:06:02,0.096
15-09-2024,20:06:03,0.097
15-09-2024,20:06:04,0.097
15-09-2024,20:06:05,0.096
15-09-2024,20:06:06,0.094
15-09-2024,20:06:07,0.092
15-09-2024,20:06:08,0.095
15-09-2024,20:06:09,0.091
15-09-2024,20:06:10,0.094
15-09-2024,20:06:11,0.088
15-09-2024,20:06:12,0.089
15-09-2024,20:06:13,0.094
15-09-2024,20:06:14,0.101
15-09-2024,20:06:15,0.102
15-09-2024,20:06:16,0.098
15-09-2024,20:06:17,0.102
15-09-2024,20:06:18,0.101
15-09-2024,20:06:19,0.097
15-09-2024,20:06:20,0.099
15-09-2024,20:06:21,0.102
15-09-2024,20:06:22,0.102
15-09-2024,20:06:23,0.098
15-09-2024,20:06:24,0.095
15-09-2024,20:06:25,0.098
15-09-2024,20:06:26,0.093
15-09-2024,20:06:27,0.095
15-09-2024,20:06:28,0.096
15-09-2024,20:06:29,0.097
15-09-2024,20:06:30,0.096
15-09-2024,20:06:31,0.095
15-09-2024,20:06:32,0.097
15-09-2024,20:06:33,0.098
15-09-2024,20:06:34,0.095
15-09-2024,20:06:35,0.096
15-09-2024,20:06:36,0.091
15-09-2024,20:06:37,0.087
15-09-2024,20:06:38,0.091
15-09-2024,20:06:39,0.097
15-09-2024,20:06:40,0.095
15-09-2024,20:06:41,0.097
15-09-2024,20:06:42,0.101
15-09-2024,20:06:43,0.101
15-09-2024,20:06:44,0.099
15-09-2024,20:06:45,0.098
15-09-2024,20:06:46,0.098
15-09-2024,20:06:47,0.100
15-09-2024,20:06:48,0.099
15-09-2024,20:06:49,0.099
15-09-2024,20:06:50,0.099
15-09-2024,20:06:51,0.097
15-09-2024,20:06:52,0.101
15-09-2024,20:06:53,0.104
15-09-2024,20:06:54,0.100
15-09-2024,20:06:55,0.099
15-09-2024,20:06:56,0.095
15-09-2024,20:06:57,0.100
15-09-2024,20:06:58,0.100
15-09-2024,20:06:59,0.098
15-09-2024,20:07:00,0.097
15-09-2024,20:07:01,0.098
15-09-2024,20:07:02,0.097
15-09-2024,20:07:03,0.105
15-09-2024,20:07:04,0.104
15-09-2024,20:07:05,0.098
15-09-2024,20:07:06,0.095
15-09-2024,20:07:07,0.095
15-09-2024,20:07:08,0.100
15-09-2024,20:07:09,0.101
15-09-2024,20:07:10,0.100
15-09-2024,20:07:11,0.098
15-09-2024,20:07:12,0.097
15-09-2024,20:07:13,0.095
15-09-2024,20:07:14,0.095
15-09-2024,20:07:15,0.096
15-09-2024,20:07:16,0.097
15-09-2024,20:07:17,0.097
15-09-2024,20:07:18,0.095
15-09-2024,20:07:19,0.097
15-09-2024,20:07:20,0.097
15-09-2024,20:07:21,0.094
15-09-2024,20:07:22,0.097
15-09-2024,20:07:23,0.103
15-09-2024,20:07:24,0.102
15-09-2024,20:07:25,0.100
15-09-2024,20:07:26,0.102
15-09-2024,20:07:27,0.100
15-09-2024,20:07:28,0.099
15-09-2024,20:07:29,0.100
15-09-2024,20:07:30,0.100
15-09-2024,20:07:31,0.100
15-09-2024,20:07:32,0.098
15-09-2024,20:07:33,0.099
15-09-2024,20:07:34,0.098
15-09-2024,20:07:35,0.098
15-09-2024,20:07:36,0.098
15-09-2024,20:07:37,0.097
15-09-2024,20:07:38,0.097
15-09-2024,20:07:39,0.099
15-09-2024,20:07:40,0.098
15-09-2024,20:07:41,0.097
15-09-2024,20:07:42,0.099
15-09-2024,20:07:43,0.098
15-09-2024,20:07:44,0.094
15-09-2024,20:07:45,0.095
15-09-2024,20:07:46,0.097
15-09-2024,20:07:47,0.097
15-09-2024,20:07:48,0.101
15-09-2024,20:07:49,0.103
15-09-2024,20:07:50,0.102
15-09-2024,20:07:51,0.104
15-09-2024,20:07:52,0.103
15-09-2024,20:07:53,0.096
15-09-2024,20:07:54,0.098
15-09-2024,20:07:55,0.098
15-09-2024,20:07:56,0.098
15-09-2024,20:07:57,0.099
15-09-2024,20:07:58,0.097

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,003
Test Abbreviation:,TEST 3 LONCO_003
Start Date:,15-09-2024
Start Time:,20:40:13
Duration (dd:hh:mm:ss):,0:00:26:00
Log Interval (mm:ss):,00:01
Number of points:,1597
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.166
,Minimum:,0.006
,Time of Minimum:,21:00:01
,Date of Minimum:,15-09-2024
,Maximum:,1.560
,Time of Maximum:,20:50:06
,Date of Maximum:,15-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
15-09-2024,20:40:14,0.048
15-09-2024,20:40:15,0.049
15-09-2024,20:40:16,0.049
15-09-2024,20:40:17,0.050
15-09-2024,20:40:18,0.052
15-09-2024,20:40:19,0.049
15-09-2024,20:40:20,0.044
15-09-2024,20:40:21,0.048
15-09-2024,20:40:22,0.051
15-09-2024,20:40:23,0.049
15-09-2024,20:40:24,0.048
15-09-2024,20:40:25,0.046
15-09-2024,20:40:26,0.049
15-09-2024,20:40:27,0.047
15-09-2024,20:40:28,0.043
15-09-2024,20:40:29,0.043
15-09-2024,20:40:30,0.045
15-09-2024,20:40:31,0.047
15-09-2024,20:40:32,0.049
15-09-2024,20:40:33,0.050
15-09-2024,20:40:34,0.047
15-09-2024,20:40:35,0.044
15-09-2024,20:40:36,0.047
15-09-2024,20:40:37,0.049
15-09-2024,20:40:38,0.049
15-09-2024,20:40:39,0.045
15-09-2024,20:40:40,0.046
15-09-2024,20:40:41,0.048
15-09-2024,20:40:42,0.052
15-09-2024,20:40:43,0.054
15-09-2024,20:40:44,0.051
15-09-2024,20:40:45,0.049
15-09-2024,20:40:46,0.046
15-09-2024,20:40:47,0.045
15-09-2024,20:40:48,0.048
15-09-2024,20:40:49,0.049
15-09-2024,20:40:50,0.049
15-09-2024,20:40:51,0.049
15-09-2024,20:40:52,0.048
15-09-2024,20:40:53,0.049
15-09-2024,20:40:54,0.050
15-09-2024,20:40:55,0.048
15-09-2024,20:40:56,0.045
15-09-2024,20:40:57,0.048
15-09-2024,20:40:58,0.047
15-09-2024,20:40:59,0.046
15-09-2024,20:41:00,0.047
15-09-2024,20:41:01,0.046
15-09-2024,20:41:02,0.044
15-09-2024,20:41:03,0.046
15-09-2024,20:41:04,0.048
15-09-2024,20:41:05,0.046
15-09-2024,20:41:06,0.044
15-09-2024,20:41:07,0.048
15-09-2024,20:41:08,0.051
15-09-2024,20:41:09,0.048
15-09-2024,20:41:10,0.047
15-09-2024,20:41:11,0.046
15-09-2024,20:41:12,0.044
15-09-2024,20:41:13,0.042
15-09-2024,20:41:14,0.044
15-09-2024,20:41:15,0.043
15-09-2024,20:41:16,0.039
15-09-2024,20:41:17,0.042
15-09-2024,20:41:18,0.045
15-09-2024,20:41:19,0.048
15-09-2024,20:41:20,0.050
15-09-2024,20:41:21,0.050
15-09-2024,20:41:22,0.056
15-09-2024,20:41:23,0.060
15-09-2024,20:41:24,0.062
15-09-2024,20:41:25,0.063
15-09-2024,20:41:26,0.071
15-09-2024,20:41:27,0.083
15-09-2024,20:41:28,0.078
15-09-2024,20:41:29,0.075
15-09-2024,20:41:30,0.084
15-09-2024,20:41:31,0.107
15-09-2024,20:41:32,0.135
15-09-2024,20:41:33,0.131
15-09-2024,20:41:34,0.105
15-09-2024,20:41:35,0.082
15-09-2024,20:41:36,0.073
15-09-2024,20:41:37,0.084
15-09-2024,20:41:38,0.097
15-09-2024,20:41:39,0.105
15-09-2024,20:41:40,0.109
15-09-2024,20:41:41,0.109
15-09-2024,20:41:42,0.094
15-09-2024,20:41:43,0.075
15-09-2024,20:41:44,0.082
15-09-2024,20:41:45,0.093
15-09-2024,20:41:46,0.096
15-09-2024,20:41:47,0.113
15-09-2024,20:41:48,0.107
15-09-2024,20:41:49,0.101
15-09-2024,20:41:50,0.085
15-09-2024,20:41:51,0.059
15-09-2024,20:41:52,0.058
15-09-2024,20:41:53,0.079
15-09-2024,20:41:54,0.099
15-09-2024,20:41:55,0.101
15-09-2024,20:41:56,0.085
15-09-2024,20:41:57,0.092
15-09-2024,20:41:58,0.086
15-09-2024,20:41:59,0.083
15-09-2024,20:42:00,0.081
15-09-2024,20:42:01,0.062
15-09-2024,20:42:02,0.059
15-09-2024,20:42:03,0.049
15-09-2024,20:42:04,0.047
15-09-2024,20:42:05,0.056
15-09-2024,20:42:06,0.053
15-09-2024,20:42:07,0.057
15-09-2024,20:42:08,0.055
15-09-2024,20:42:09,0.048
15-09-2024,20:42:10,0.045
15-09-2024,20:42:11,0.044
15-09-2024,20:42:12,0.046
15-09-2024,20:42:13,0.049
15-09-2024,20:42:14,0.057
15-09-2024,20:42:15,0.058
15-09-2024,20:42:16,0.054
15-09-2024,20:42:17,0.050
15-09-2024,20:42:18,0.047
15-09-2024,20:42:19,0.044
15-09-2024,20:42:20,0.049
15-09-2024,20:42:21,0.080
15-09-2024,20:42:22,0.110
15-09-2024,20:42:23,0.106
15-09-2024,20:42:24,0.099
15-09-2024,20:42:25,0.092
15-09-2024,20:42:26,0.071
15-09-2024,20:42:27,0.063
15-09-2024,20:42:28,0.062
15-09-2024,20:42:29,0.059
15-09-2024,20:42:30,0.110
15-09-2024,20:42:31,0.315
15-09-2024,20:42:32,0.381
15-09-2024,20:42:33,0.311
15-09-2024,20:42:34,0.256
15-09-2024,20:42:35,0.173
15-09-2024,20:42:36,0.111
15-09-2024,20:42:37,0.099
15-09-2024,20:42:38,0.084
15-09-2024,20:42:39,0.073
15-09-2024,20:42:40,0.067
15-09-2024,20:42:41,0.070
15-09-2024,20:42:42,0.068
15-09-2024,20:42:43,0.069
15-09-2024,20:42:44,0.084
15-09-2024,20:42:45,0.110
15-09-2024,20:42:46,0.132
15-09-2024,20:42:47,0.119
15-09-2024,20:42:48,0.112
15-09-2024,20:42:49,0.100
15-09-2024,20:42:50,0.091
15-09-2024,20:42:51,0.081
15-09-2024,20:42:52,0.076
15-09-2024,20:42:53,0.087
15-09-2024,20:42:54,0.097
15-09-2024,20:42:55,0.102
15-09-2024,20:42:56,0.107
15-09-2024,20:42:57,0.085
15-09-2024,20:42:58,0.078
15-09-2024,20:42:59,0.089
15-09-2024,20:43:00,0.101
15-09-2024,20:43:01,0.094
15-09-2024,20:43:02,0.091
15-09-2024,20:43:03,0.100
15-09-2024,20:43:04,0.113
15-09-2024,20:43:05,0.125
15-09-2024,20:43:06,0.119
15-09-2024,20:43:07,0.118
