TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,27-08-2024
Start Time:,20:17:22
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,62
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:17:23
,Date of Minimum:,27-08-2024
,Maximum:,0.000
,Time of Maximum:,20:17:23
,Date of Maximum:,27-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
27-08-2024,20:17:23,0.000
27-08-2024,20:17:24,0.000
27-08-2024,20:17:25,0.000
27-08-2024,20:17:26,0.000
27-08-2024,20:17:27,0.000
27-08-2024,20:17:28,0.000
27-08-2024,20:17:29,0.000
27-08-2024,20:17:30,0.000
27-08-2024,20:17:31,0.000
27-08-2024,20:17:32,0.000
27-08-2024,20:17:33,0.000
27-08-2024,20:17:34,0.000
27-08-2024,20:17:35,0.000
27-08-2024,20:17:36,0.000
27-08-2024,20:17:37,0.000
27-08-2024,20:17:38,0.000
27-08-2024,20:17:39,0.000
27-08-2024,20:17:40,0.000
27-08-2024,20:17:41,0.000
27-08-2024,20:17:42,0.000
27-08-2024,20:17:43,0.000
27-08-2024,20:17:44,0.000
27-08-2024,20:17:45,0.000
27-08-2024,20:17:46,0.000
27-08-2024,20:17:47,0.000
27-08-2024,20:17:48,0.000
27-08-2024,20:17:49,0.000
27-08-2024,20:17:50,0.000
27-08-2024,20:17:51,0.000
27-08-2024,20:17:52,0.000
27-08-2024,20:17:53,0.000
27-08-2024,20:17:54,0.000
27-08-2024,20:17:55,0.000
27-08-2024,20:17:56,0.000
27-08-2024,20:17:57,0.000
27-08-2024,20:17:58,0.000
27-08-2024,20:17:59,0.000
27-08-2024,20:18:00,0.000
27-08-2024,20:18:01,0.000
27-08-2024,20:18:02,0.000
27-08-2024,20:18:03,0.000
27-08-2024,20:18:04,0.000
27-08-2024,20:18:05,0.000
27-08-2024,20:18:06,0.000
27-08-2024,20:18:07,0.000
27-08-2024,20:18:08,0.000
27-08-2024,20:18:09,0.000
27-08-2024,20:18:10,0.000
27-08-2024,20:18:11,0.000
27-08-2024,20:18:12,0.000
27-08-2024,20:18:13,0.000
27-08-2024,20:18:14,0.000
