TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,13-09-2024
Start Time:,20:21:02
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,63
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.001
,Minimum:,0.000
,Time of Minimum:,20:21:03
,Date of Minimum:,13-09-2024
,Maximum:,0.002
,Time of Maximum:,20:21:33
,Date of Maximum:,13-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
13-09-2024,20:21:03,0.000
13-09-2024,20:21:04,0.000
13-09-2024,20:21:05,0.000
13-09-2024,20:21:06,0.000
13-09-2024,20:21:07,0.000
13-09-2024,20:21:08,0.000
13-09-2024,20:21:09,0.001
13-09-2024,20:21:10,0.001
13-09-2024,20:21:11,0.001
13-09-2024,20:21:12,0.000
13-09-2024,20:21:13,0.000
13-09-2024,20:21:14,0.000
13-09-2024,20:21:15,0.000
13-09-2024,20:21:16,0.000
13-09-2024,20:21:17,0.000
13-09-2024,20:21:18,0.000
13-09-2024,20:21:19,0.000
13-09-2024,20:21:20,0.000
13-09-2024,20:21:21,0.000
13-09-2024,20:21:22,0.000
13-09-2024,20:21:23,0.000
13-09-2024,20:21:24,0.000
13-09-2024,20:21:25,0.000
13-09-2024,20:21:26,0.000
13-09-2024,20:21:27,0.000
13-09-2024,20:21:28,0.000
13-09-2024,20:21:29,0.000
13-09-2024,20:21:30,0.000
13-09-2024,20:21:31,0.000
13-09-2024,20:21:32,0.001
13-09-2024,20:21:33,0.002
13-09-2024,20:21:34,0.001
13-09-2024,20:21:35,0.001
13-09-2024,20:21:36,0.001
13-09-2024,20:21:37,0.001
13-09-2024,20:21:38,0.001
13-09-2024,20:21:39,0.001
13-09-2024,20:21:40,0.002
13-09-2024,20:21:41,0.001
13-09-2024,20:21:42,0.001
13-09-2024,20:21:43,0.001
13-09-2024,20:21:44,0.000
13-09-2024,20:21:45,0.001
13-09-2024,20:21:46,0.001
13-09-2024,20:21:47,0.001
13-09-2024,20:21:48,0.002
13-09-2024,20:21:49,0.001
13-09-2024,20:21:50,0.000
13-09-2024,20:21:51,0.001
13-09-2024,20:21:52,0.001
13-09-2024,20:21:53,0.001
13-09-2024,20:21:54,0.002
13-09-2024,20:21:55,0.002
13-09-2024,20:21:56,0.002
13-09-2024,20:21:57,0.001
13-09-2024,20:21:58,0.001
13-09-2024,20:21:59,0.001
13-09-2024,20:22:00,0.001
13-09-2024,20:22:01,0.001
13-09-2024,20:22:02,0.001
13-09-2024,20:22:03,0.001
13-09-2024,20:22:04,0.001
13-09-2024,20:22:05,0.002

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 3 LONCO_002
Start Date:,13-09-2024
Start Time:,20:22:48
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,184
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.053
,Minimum:,0.037
,Time of Minimum:,20:22:56
,Date of Minimum:,13-09-2024
,Maximum:,0.065
,Time of Maximum:,20:25:23
,Date of Maximum:,13-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
13-09-2024,20:22:49,0.041
13-09-2024,20:22:50,0.041
13-09-2024,20:22:51,0.042
13-09-2024,20:22:52,0.042
13-09-2024,20:22:53,0.046
13-09-2024,20:22:54,0.045
13-09-2024,20:22:55,0.040
13-09-2024,20:22:56,0.037
13-09-2024,20:22:57,0.037
13-09-2024,20:22:58,0.039
13-09-2024,20:22:59,0.040
13-09-2024,20:23:00,0.041
13-09-2024,20:23:01,0.040
13-09-2024,20:23:02,0.037
13-09-2024,20:23:03,0.037
13-09-2024,20:23:04,0.038
13-09-2024,20:23:05,0.040
13-09-2024,20:23:06,0.041
13-09-2024,20:23:07,0.043
13-09-2024,20:23:08,0.043
13-09-2024,20:23:09,0.045
13-09-2024,20:23:10,0.043
13-09-2024,20:23:11,0.043
13-09-2024,20:23:12,0.043
13-09-2024,20:23:13,0.042
13-09-2024,20:23:14,0.040
13-09-2024,20:23:15,0.042
13-09-2024,20:23:16,0.042
13-09-2024,20:23:17,0.040
13-09-2024,20:23:18,0.043
13-09-2024,20:23:19,0.047
13-09-2024,20:23:20,0.050
13-09-2024,20:23:21,0.048
13-09-2024,20:23:22,0.050
13-09-2024,20:23:23,0.045
13-09-2024,20:23:24,0.044
13-09-2024,20:23:25,0.044
13-09-2024,20:23:26,0.044
13-09-2024,20:23:27,0.044
13-09-2024,20:23:28,0.041
13-09-2024,20:23:29,0.042
13-09-2024,20:23:30,0.044
13-09-2024,20:23:31,0.049
13-09-2024,20:23:32,0.044
13-09-2024,20:23:33,0.044
13-09-2024,20:23:34,0.041
13-09-2024,20:23:35,0.043
13-09-2024,20:23:36,0.047
13-09-2024,20:23:37,0.047
13-09-2024,20:23:38,0.050
13-09-2024,20:23:39,0.049
13-09-2024,20:23:40,0.047
13-09-2024,20:23:41,0.048
13-09-2024,20:23:42,0.048
13-09-2024,20:23:43,0.051
13-09-2024,20:23:44,0.056
13-09-2024,20:23:45,0.050
13-09-2024,20:23:46,0.051
13-09-2024,20:23:47,0.052
13-09-2024,20:23:48,0.053
13-09-2024,20:23:49,0.053
13-09-2024,20:23:50,0.051
13-09-2024,20:23:51,0.055
13-09-2024,20:23:52,0.055
13-09-2024,20:23:53,0.055
13-09-2024,20:23:54,0.053
13-09-2024,20:23:55,0.052
13-09-2024,20:23:56,0.053
13-09-2024,20:23:57,0.053
13-09-2024,20:23:58,0.053
13-09-2024,20:23:59,0.056
13-09-2024,20:24:00,0.058
13-09-2024,20:24:01,0.058
13-09-2024,20:24:02,0.055
13-09-2024,20:24:03,0.054
13-09-2024,20:24:04,0.055
13-09-2024,20:24:05,0.054
13-09-2024,20:24:06,0.052
13-09-2024,20:24:07,0.056
13-09-2024,20:24:08,0.059
13-09-2024,20:24:09,0.060
13-09-2024,20:24:10,0.057
13-09-2024,20:24:11,0.058
13-09-2024,20:24:12,0.060
13-09-2024,20:24:13,0.061
13-09-2024,20:24:14,0.063
13-09-2024,20:24:15,0.060
13-09-2024,20:24:16,0.053
13-09-2024,20:24:17,0.059
13-09-2024,20:24:18,0.057
13-09-2024,20:24:19,0.052
13-09-2024,20:24:20,0.052
13-09-2024,20:24:21,0.054
13-09-2024,20:24:22,0.055
13-09-2024,20:24:23,0.054
13-09-2024,20:24:24,0.056
13-09-2024,20:24:25,0.058
13-09-2024,20:24:26,0.058
13-09-2024,20:24:27,0.055
13-09-2024,20:24:28,0.056
13-09-2024,20:24:29,0.056
13-09-2024,20:24:30,0.055
13-09-2024,20:24:31,0.055
13-09-2024,20:24:32,0.054
13-09-2024,20:24:33,0.055
13-09-2024,20:24:34,0.057
13-09-2024,20:24:35,0.056
13-09-2024,20:24:36,0.053
13-09-2024,20:24:37,0.055
13-09-2024,20:24:38,0.057
13-09-2024,20:24:39,0.058
13-09-2024,20:24:40,0.058
13-09-2024,20:24:41,0.059
13-09-2024,20:24:42,0.060
13-09-2024,20:24:43,0.058
13-09-2024,20:24:44,0.057
13-09-2024,20:24:45,0.057
13-09-2024,20:24:46,0.058
13-09-2024,20:24:47,0.056
13-09-2024,20:24:48,0.055
13-09-2024,20:24:49,0.056
13-09-2024,20:24:50,0.056
13-09-2024,20:24:51,0.055
13-09-2024,20:24:52,0.055
13-09-2024,20:24:53,0.054
13-09-2024,20:24:54,0.054
13-09-2024,20:24:55,0.053
13-09-2024,20:24:56,0.055
13-09-2024,20:24:57,0.054
13-09-2024,20:24:58,0.054
13-09-2024,20:24:59,0.054
13-09-2024,20:25:00,0.054
13-09-2024,20:25:01,0.052
13-09-2024,20:25:02,0.050
13-09-2024,20:25:03,0.051
13-09-2024,20:25:04,0.052
13-09-2024,20:25:05,0.050
13-09-2024,20:25:06,0.049
13-09-2024,20:25:07,0.051
13-09-2024,20:25:08,0.053
13-09-2024,20:25:09,0.058
13-09-2024,20:25:10,0.059
13-09-2024,20:25:11,0.059
13-09-2024,20:25:12,0.061
13-09-2024,20:25:13,0.060
13-09-2024,20:25:14,0.061
13-09-2024,20:25:15,0.062
13-09-2024,20:25:16,0.060
13-09-2024,20:25:17,0.060
13-09-2024,20:25:18,0.062
13-09-2024,20:25:19,0.064
13-09-2024,20:25:20,0.063
13-09-2024,20:25:21,0.063
13-09-2024,20:25:22,0.062
13-09-2024,20:25:23,0.065
13-09-2024,20:25:24,0.065
13-09-2024,20:25:25,0.062
13-09-2024,20:25:26,0.062
13-09-2024,20:25:27,0.059
13-09-2024,20:25:28,0.061
13-09-2024,20:25:29,0.060
13-09-2024,20:25:30,0.058
13-09-2024,20:25:31,0.056
13-09-2024,20:25:32,0.058
13-09-2024,20:25:33,0.057
13-09-2024,20:25:34,0.058
13-09-2024,20:25:35,0.061
13-09-2024,20:25:36,0.058
13-09-2024,20:25:37,0.056
13-09-2024,20:25:38,0.057
13-09-2024,20:25:39,0.058
13-09-2024,20:25:40,0.056
13-09-2024,20:25:41,0.056
13-09-2024,20:25:42,0.057
13-09-2024,20:25:43,0.055
13-09-2024,20:25:44,0.054
13-09-2024,20:25:45,0.056
13-09-2024,20:25:46,0.054
13-09-2024,20:25:47,0.055
13-09-2024,20:25:48,0.058
13-09-2024,20:25:49,0.063
13-09-2024,20:25:50,0.062
13-09-2024,20:25:51,0.063
13-09-2024,20:25:52,0.063

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,003
Test Abbreviation:,TEST 3 LONCO_003
Start Date:,13-09-2024
Start Time:,20:57:01
Duration (dd:hh:mm:ss):,0:00:27:00
Log Interval (mm:ss):,00:01
Number of points:,1653
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.155
,Minimum:,-0.001
,Time of Minimum:,21:17:45
,Date of Minimum:,13-09-2024
,Maximum:,2.420
,Time of Maximum:,21:08:01
,Date of Maximum:,13-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
13-09-2024,20:57:02,0.077
13-09-2024,20:57:03,0.077
13-09-2024,20:57:04,0.075
13-09-2024,20:57:05,0.076
13-09-2024,20:57:06,0.076
13-09-2024,20:57:07,0.079
13-09-2024,20:57:08,0.082
13-09-2024,20:57:09,0.080
13-09-2024,20:57:10,0.078
13-09-2024,20:57:11,0.076
13-09-2024,20:57:12,0.075
13-09-2024,20:57:13,0.076
13-09-2024,20:57:14,0.080
13-09-2024,20:57:15,0.082
13-09-2024,20:57:16,0.081
13-09-2024,20:57:17,0.085
13-09-2024,20:57:18,0.092
13-09-2024,20:57:19,0.093
13-09-2024,20:57:20,0.092
13-09-2024,20:57:21,0.084
13-09-2024,20:57:22,0.077
13-09-2024,20:57:23,0.070
13-09-2024,20:57:24,0.067
13-09-2024,20:57:25,0.077
13-09-2024,20:57:26,0.081
13-09-2024,20:57:27,0.077
13-09-2024,20:57:28,0.065
13-09-2024,20:57:29,0.073
13-09-2024,20:57:30,0.079
13-09-2024,20:57:31,0.080
13-09-2024,20:57:32,0.067
13-09-2024,20:57:33,0.079
13-09-2024,20:57:34,0.087
13-09-2024,20:57:35,0.093
13-09-2024,20:57:36,0.094
13-09-2024,20:57:37,0.098
13-09-2024,20:57:38,0.099
13-09-2024,20:57:39,0.101
13-09-2024,20:57:40,0.108
13-09-2024,20:57:41,0.104
13-09-2024,20:57:42,0.105
13-09-2024,20:57:43,0.109
13-09-2024,20:57:44,0.113
13-09-2024,20:57:45,0.108
13-09-2024,20:57:46,0.107
13-09-2024,20:57:47,0.107
13-09-2024,20:57:48,0.109
13-09-2024,20:57:49,0.106
13-09-2024,20:57:50,0.107
13-09-2024,20:57:51,0.109
13-09-2024,20:57:52,0.105
13-09-2024,20:57:53,0.099
13-09-2024,20:57:54,0.099
13-09-2024,20:57:55,0.101
13-09-2024,20:57:56,0.098
13-09-2024,20:57:57,0.101
13-09-2024,20:57:58,0.111
13-09-2024,20:57:59,0.124
13-09-2024,20:58:00,0.127
13-09-2024,20:58:01,0.118
13-09-2024,20:58:02,0.120
13-09-2024,20:58:03,0.118
13-09-2024,20:58:04,0.075
13-09-2024,20:58:05,0.056
13-09-2024,20:58:06,0.050
13-09-2024,20:58:07,0.046
13-09-2024,20:58:08,0.040
13-09-2024,20:58:09,0.041
13-09-2024,20:58:10,0.041
13-09-2024,20:58:11,0.041
13-09-2024,20:58:12,0.039
13-09-2024,20:58:13,0.042
13-09-2024,20:58:14,0.050
13-09-2024,20:58:15,0.055
13-09-2024,20:58:16,0.057
13-09-2024,20:58:17,0.054
13-09-2024,20:58:18,0.055
13-09-2024,20:58:19,0.057
13-09-2024,20:58:20,0.053
13-09-2024,20:58:21,0.050
13-09-2024,20:58:22,0.051
13-09-2024,20:58:23,0.053
13-09-2024,20:58:24,0.064
13-09-2024,20:58:25,0.068
13-09-2024,20:58:26,0.072
13-09-2024,20:58:27,0.056
13-09-2024,20:58:28,0.050
13-09-2024,20:58:29,0.056
13-09-2024,20:58:30,0.050
13-09-2024,20:58:31,0.040
13-09-2024,20:58:32,0.035
13-09-2024,20:58:33,0.035
13-09-2024,20:58:34,0.025
13-09-2024,20:58:35,0.020
13-09-2024,20:58:36,0.021
13-09-2024,20:58:37,0.021
13-09-2024,20:58:38,0.019
13-09-2024,20:58:39,0.016
13-09-2024,20:58:40,0.015
13-09-2024,20:58:41,0.013
13-09-2024,20:58:42,0.015
13-09-2024,20:58:43,0.014
13-09-2024,20:58:44,0.014
13-09-2024,20:58:45,0.015
13-09-2024,20:58:46,0.015
13-09-2024,20:58:47,0.014
13-09-2024,20:58:48,0.012
13-09-2024,20:58:49,0.012
13-09-2024,20:58:50,0.017
13-09-2024,20:58:51,0.017
13-09-2024,20:58:52,0.014
13-09-2024,20:58:53,0.017
13-09-2024,20:58:54,0.019
13-09-2024,20:58:55,0.017
13-09-2024,20:58:56,0.017
13-09-2024,20:58:57,0.021
13-09-2024,20:58:58,0.025
13-09-2024,20:58:59,0.031
13-09-2024,20:59:00,0.036
13-09-2024,20:59:01,0.040
13-09-2024,20:59:02,0.037
13-09-2024,20:59:03,0.026
13-09-2024,20:59:04,0.023
13-09-2024,20:59:05,0.026
13-09-2024,20:59:06,0.028
13-09-2024,20:59:07,0.030
13-09-2024,20:59:08,0.033
13-09-2024,20:59:09,0.036
13-09-2024,20:59:10,0.042
13-09-2024,20:59:11,0.046
13-09-2024,20:59:12,0.055
13-09-2024,20:59:13,0.065
13-09-2024,20:59:14,0.081
13-09-2024,20:59:15,0.090
13-09-2024,20:59:16,0.077
13-09-2024,20:59:17,0.074
13-09-2024,20:59:18,0.070
13-09-2024,20:59:19,0.066
13-09-2024,20:59:20,0.063
13-09-2024,20:59:21,0.060
13-09-2024,20:59:22,0.063
13-09-2024,20:59:23,0.063
13-09-2024,20:59:24,0.062
13-09-2024,20:59:25,0.064
13-09-2024,20:59:26,0.069
13-09-2024,20:59:27,0.064
13-09-2024,20:59:28,0.063
13-09-2024,20:59:29,0.056
13-09-2024,20:59:30,0.049
13-09-2024,20:59:31,0.047
13-09-2024,20:59:32,0.042
13-09-2024,20:59:33,0.035
13-09-2024,20:59:34,0.037
13-09-2024,20:59:35,0.042
13-09-2024,20:59:36,0.042
13-09-2024,20:59:37,0.040
13-09-2024,20:59:38,0.033
13-09-2024,20:59:39,0.030
13-09-2024,20:59:40,0.028
13-09-2024,20:59:41,0.030
13-09-2024,20:59:42,0.029
13-09-2024,20:59:43,0.024
13-09-2024,20:59:44,0.021
13-09-2024,20:59:45,0.020
13-09-2024,20:59:46,0.017
13-09-2024,20:59:47,0.015
13-09-2024,20:59:48,0.014
13-09-2024,20:59:49,0.014
13-09-2024,20:59:50,0.017
13-09-2024,20:59:51,0.017
13-09-2024,20:59:52,0.015
13-09-2024,20:59:53,0.015
13-09-2024,20:59:54,0.015
13-09-2024,20:59:55,0.012
13-09-2024,20:59:56,0.010
13-09-2024,20:59:57,0.010
