FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240910;0600;;16;;
240910;0700;;22;;
240910;0800;;20;;
240910;0900;;20;;
240910;1000;;19;;
240910;1100;;23;;
240910;1200;;20;;
240910;1300;;21;;
240910;1400;;26;;
240910;1500;;18;;
240910;1600;;23;;
240910;1700;;19;;
240910;1800;;49;;
240910;1900;;114;;
240910;2000;;150;;
240910;2100;;110;;
240910;2200;;117;;
240910;2300;;96;;
240911;0000;;161;;
240911;0100;;58;;
240911;0200;;43;;
240911;0300;;63;;
240911;0400;;51;;
240911;0500;;38;;
240911;0600;;47;;
240911;0700;;144;;
240911;0800;;69;;
240911;0900;;23;;
240911;1000;;11;;
240911;1100;;9;;
240911;1200;;10;;
240911;1300;;9;;
240911;1400;;8;;
240911;1500;;8;;
240911;1600;;13;;
240911;1700;;20;;
240911;1800;;43;;
240911;1900;;49;;
240911;2000;;35;;
240911;2100;;40;;
240911;2200;;46;;
240911;2300;;60;;
240912;0000;;59;;
240912;0100;;41;;
240912;0200;;39;;
240912;0300;;30;;
240912;0400;;23;;
240912;0500;;21;;
240912;0600;;55;;
240912;0700;;104;;
240912;0800;;68;;
240912;0900;;15;;
240912;1000;;12;;
240912;1100;;16;;
240912;1200;;13;;
240912;1300;;8;;
240912;1400;;5;;
240912;1500;;12;;
240912;1600;;11;;
240912;1700;;10;;
240912;1800;;24;;
240912;1900;;29;;
240912;2000;;85;;
240912;2100;;87;;
240912;2200;;142;;
240912;2300;;62;;
240913;0000;;29;;
240913;0100;;50;;
240913;0200;;25;;
240913;0300;;23;;
240913;0400;;23;;
240913;0500;;18;;
240913;0600;;27;;
240913;0700;;41;;
240913;0800;;26;;
240913;0900;;27;;
240913;1000;;15;;
240913;1100;;12;;
240913;1200;;10;;
240913;1300;;7;;
240913;1400;;17;;
240913;1500;;8;;
240913;1600;;13;;
240913;1700;;20;;
240913;1800;;34;;
240913;1900;;121;;
240913;2000;;172;;
240913;2100;;187;;
240913;2200;;94;;
240913;2300;;80;;
240914;0000;;131;;
240914;0100;;83;;
240914;0200;;38;;
240914;0300;;26;;
240914;0400;;49;;
240914;0500;;19;;
240914;0600;;23;;
240914;0700;;43;;
240914;0800;;36;;
240914;0900;;11;;
240914;1000;;14;;
240914;1100;;11;;
240914;1200;;9;;
240914;1300;;8;;
240914;1400;;6;;
240914;1500;;7;;
240914;1600;;15;;
240914;1700;;23;;
240914;1800;;41;;
240914;1900;;42;;
240914;2000;;34;;
240914;2100;;34;;
240914;2200;;30;;
240914;2300;;88;;
240915;0000;;114;;
240915;0100;;101;;
240915;0200;;70;;
240915;0300;;51;;
240915;0400;;37;;
240915;0500;;30;;
240915;0600;;34;;
240915;0700;;52;;
240915;0800;;71;;
240915;0900;;21;;
240915;1000;;7;;
240915;1100;;12;;
240915;1200;;;;
240915;1300;;2;;
240915;1400;;1;;
240915;1500;;2;;
240915;1600;;6;;
240915;1700;;8;;
240915;1800;;50;;
240915;1900;;127;;
240915;2000;;76;;
240915;2100;;131;;
240915;2200;;94;;
240915;2300;;58;;
240916;0000;;48;;
240916;0100;;31;;
240916;0200;;14;;
240916;0300;;10;;
240916;0400;;12;;
240916;0500;;10;;
240916;0600;;9;;
240916;0700;;21;;
240916;0800;;22;;
240916;0900;;14;;
240916;1000;;13;;
240916;1100;;10;;
240916;1200;;8;;
240916;1300;;8;;
240916;1400;;13;;
240916;1500;;10;;
240916;1600;;12;;
240916;1700;;19;;
240916;1800;;22;;
240916;1900;;25;;
240916;2000;;27;;
240916;2100;;41;;
240916;2200;;40;;
240916;2300;;97;;
240917;0000;;54;;
240917;0100;;85;;
240917;0200;;57;;
240917;0300;;56;;
240917;0400;;67;;
240917;0500;;19;;
240917;0600;;12;;
240917;0700;;13;;
240917;0800;;19;;
240917;0900;;20;;
240917;1000;;16;;
240917;1100;;17;;
240917;1200;;21;;
240917;1300;;16;;
240917;1400;;14;;
240917;1500;;12;;
240917;1600;;12;;
240917;1700;;24;;
240917;1800;;14;;
240917;1900;;255;;
240917;2000;;188;;
240917;2100;;231;;
240917;2200;;124;;
240917;2300;;121;;
240918;0000;;145;;
240918;0100;;96;;
240918;0200;;99;;
240918;0300;;60;;
240918;0400;;65;;
240918;0500;;50;;
240918;0600;;43;;
240918;0700;;15;;
240918;0800;;9;;
240918;0900;;9;;
240918;1000;;10;;
240918;1100;;12;;
240918;1200;;15;;
240918;1300;;19;;
240918;1400;;20;;
240918;1500;;21;;
240918;1600;;14;;
240918;1700;;17;;
240918;1800;;14;;
240918;1900;;18;;
240918;2000;;15;;
240918;2100;;2;;
240918;2200;;4;;
240918;2300;;4;;
240919;0000;;3;;
240919;0100;;3;;
240919;0200;;4;;
240919;0300;;4;;
240919;0400;;3;;
240919;0500;;2;;
240919;0600;;2;;
240919;0700;;4;;
240919;0800;;4;;
240919;0900;;4;;
240919;1000;;9;;
240919;1100;;7;;
240919;1200;;8;;
240919;1300;;9;;
240919;1400;;13;;
240919;1500;;9;;
240919;1600;;18;;
240919;1700;;10;;
240919;1800;;11;;
240919;1900;;17;;
240919;2000;;15;;
240919;2100;;18;;
240919;2200;;19;;
240919;2300;;13;;
240920;0000;;10;;
240920;0100;;13;;
240920;0200;;7;;
240920;0300;;4;;
240920;0400;;5;;
240920;0500;;6;;
240920;0600;;4;;
240920;0700;;4;;
240920;0800;;6;;
240920;0900;;11;;
240920;1000;;8;;
240920;1100;;4;;
240920;1200;;4;;
240920;1300;;14;;
240920;1400;;17;;
240920;1500;;7;;
240920;1600;;9;;
240920;1700;;5;;
240920;1800;;5;;
240920;1900;;14;;
240920;2000;;9;;
240920;2100;;6;;
240920;2200;;8;;
240920;2300;;5;;
240921;0000;;6;;
240921;0100;;5;;
240921;0200;;4;;
240921;0300;;6;;
240921;0400;;4;;
240921;0500;;5;;
240921;0600;;6;;
240921;0700;;5;;
240921;0800;;10;;
240921;0900;;31;;
240921;1000;;16;;
240921;1100;;13;;
240921;1200;;20;;
240921;1300;;30;;
240921;1400;;26;;
240921;1500;;17;;
240921;1600;;26;;
240921;1700;;21;;
240921;1800;;27;;
240921;1900;;25;;
240921;2000;;33;;
240921;2100;;20;;
240921;2200;;20;;
240921;2300;;19;;
240922;0000;;15;;
240922;0100;;22;;
240922;0200;;6;;
240922;0300;;7;;
240922;0400;;8;;
240922;0500;;8;;
240922;0600;;6;;
240922;0700;;7;;
240922;0800;;8;;
240922;0900;;8;;
240922;1000;;7;;
240922;1100;;8;;
240922;1200;;14;;
240922;1300;;18;;
240922;1400;;11;;
240922;1500;;11;;
240922;1600;;15;;
240922;1700;;17;;
240922;1800;;15;;
240922;1900;;16;;
240922;2000;;14;;
240922;2100;;12;;
240922;2200;;14;;
240922;2300;;9;;
240923;0000;;17;;
240923;0100;;17;;
240923;0200;;16;;
240923;0300;;8;;
240923;0400;;11;;
240923;0500;;6;;
240923;0600;;4;;
240923;0700;;3;;
240923;0800;;12;;
240923;0900;;9;;
240923;1000;;6;;
240923;1100;;3;;
240923;1200;;1;;
240923;1300;;2;;
240923;1400;;5;;
240923;1500;;17;;
240923;1600;;3;;
240923;1700;;3;;
240923;1800;;37;;
240923;1900;;120;;
240923;2000;;104;;
240923;2100;;70;;
240923;2200;;199;;
240923;2300;;186;;
240924;0000;;59;;
240924;0100;;70;;
240924;0200;;52;;
240924;0300;;45;;
240924;0400;;27;;
240924;0500;;34;;
240924;0600;;99;;
240924;0700;;159;;
240924;0800;;27;;
240924;0900;;5;;
240924;1000;;9;;
240924;1100;;25;;
240924;1200;;12;;
240924;1300;;21;;
240924;1400;;14;;
240924;1500;;14;;
240924;1600;;19;;
240924;1700;;17;;
240924;1800;;44;;
240924;1900;;62;;
240924;2000;;74;;
240924;2100;;59;;
240924;2200;;38;;
240924;2300;;46;;
240925;0000;;89;;
240925;0100;;110;;
240925;0200;;36;;
240925;0300;;15;;
240925;0400;;13;;
240925;0500;;31;;
240925;0600;;59;;
240925;0700;;46;;
240925;0800;;17;;
240925;0900;;7;;
240925;1000;;4;;
240925;1100;;;;
240925;1200;;;;
240925;1300;;6;;
240925;1400;;9;;
240925;1500;;5;;
240925;1600;;3;;
240925;1700;;19;;
240925;1800;;41;;
240925;1900;;85;;
240925;2000;;62;;
240925;2100;;48;;
240925;2200;;50;;
240925;2300;;40;;
240926;0000;;46;;
240926;0100;;36;;
240926;0200;;33;;
240926;0300;;10;;
240926;0400;;10;;
240926;0500;;19;;
240926;0600;;47;;
240926;0700;;30;;
240926;0800;;18;;
240926;0900;;26;;
240926;1000;;17;;
240926;1100;;13;;
240926;1200;;11;;
240926;1300;;9;;
240926;1400;;9;;
240926;1500;;6;;
240926;1600;;15;;
240926;1700;;17;;
240926;1800;;40;;
240926;1900;;36;;
240926;2000;;32;;
240926;2100;;29;;
240926;2200;;87;;
240926;2300;;170;;
240927;0000;;147;;
240927;0100;;77;;
240927;0200;;18;;
240927;0300;;17;;
240927;0400;;22;;
240927;0500;;12;;
240927;0600;;20;;
240927;0700;;24;;
240927;0800;;17;;
240927;0900;;5;;
240927;1000;;7;;
240927;1100;;15;;
240927;1200;;15;;
240927;1300;;18;;
240927;1400;;12;;
240927;1500;;9;;
240927;1600;;9;;
240927;1700;;13;;
240927;1800;;26;;
240927;1900;;34;;
240927;2000;;65;;
240927;2100;;122;;
240927;2200;;47;;
240927;2300;;8;;
240928;0000;;10;;
240928;0100;;11;;
240928;0200;;17;;
240928;0300;;42;;
240928;0400;;43;;
240928;0500;;28;;
240928;0600;;43;;
240928;0700;;85;;
240928;0800;;27;;
240928;0900;;35;;
240928;1000;;8;;
240928;1100;;10;;
240928;1200;;11;;
240928;1300;;10;;
240928;1400;;11;;
240928;1500;;13;;
240928;1600;;7;;
240928;1700;;4;;
240928;1800;;5;;
240928;1900;;8;;
240928;2000;;6;;
240928;2100;;27;;
240928;2200;;17;;
240928;2300;;10;;
240929;0000;;14;;
240929;0100;;8;;
240929;0200;;17;;
240929;0300;;11;;
240929;0400;;12;;
240929;0500;;23;;
240929;0600;;4;;
240929;0700;;8;;
240929;0800;;5;;
240929;0900;;6;;
240929;1000;;5;;
240929;1100;;7;;
240929;1200;;7;;
240929;1300;;6;;
240929;1400;;7;;
240929;1500;;8;;
240929;1600;;11;;
240929;1700;;10;;
240929;1800;;11;;
240929;1900;;19;;
240929;2000;;25;;
240929;2100;;29;;
240929;2200;;12;;
240929;2300;;8;;
240930;0000;;7;;
240930;0100;;5;;
240930;0200;;2;;
240930;0300;;2;;
240930;0400;;2;;
240930;0500;;5;;
240930;0600;;7;;
240930;0700;;17;;
240930;0800;;15;;
240930;0900;;18;;
240930;1000;;11;;
240930;1100;;18;;
240930;1200;;13;;
240930;1300;;8;;
240930;1400;;7;;
240930;1500;;13;;
240930;1600;;13;;
240930;1700;;20;;
240930;1800;;22;;
240930;1900;;16;;
240930;2000;;50;;
240930;2100;;33;;
240930;2200;;23;;
240930;2300;;43;;
