FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240730;1100;;17;;
240730;1200;;15;;
240730;1300;;30;;
240730;1400;;23;;
240730;1500;;61;;
240730;1600;;33;;
240730;1700;;60;;
240730;1800;;333;;
240730;1900;;606;;
240730;2000;;446;;
240730;2100;;493;;
240730;2200;;148;;
240730;2300;;198;;
240731;0000;;49;;
240731;0100;;143;;
240731;0200;;23;;
240731;0300;;13;;
240731;0400;;27;;
240731;0500;;29;;
240731;0600;;18;;
240731;0700;;47;;
240731;0800;;32;;
240731;0900;;8;;
240731;1000;;11;;
240731;1100;;10;;
240731;1200;;9;;
240731;1300;;34;;
240731;1400;;24;;
240731;1500;;15;;
240731;1600;;9;;
240731;1700;;12;;
240731;1800;;11;;
240731;1900;;25;;
240731;2000;;13;;
240731;2100;;11;;
240731;2200;;12;;
240731;2300;;14;;
240801;0000;;11;;
240801;0100;;10;;
240801;0200;;5;;
240801;0300;;9;;
240801;0400;;6;;
240801;0500;;2;;
240801;0600;;3;;
240801;0700;;4;;
240801;0800;;2;;
240801;0900;;4;;
240801;1000;;5;;
240801;1100;;6;;
240801;1200;;5;;
240801;1300;;4;;
240801;1400;;11;;
240801;1500;;7;;
240801;1600;;;;
240801;1700;;;;
240801;1800;;3;;
240801;1900;;6;;
240801;2000;;15;;
240801;2100;;18;;
240801;2200;;11;;
240801;2300;;6;;
240802;0000;;3;;
240802;0100;;5;;
240802;0200;;6;;
240802;0300;;7;;
240802;0400;;6;;
240802;0500;;4;;
240802;0600;;4;;
240802;0700;;4;;
240802;0800;;6;;
240802;0900;;6;;
240802;1000;;11;;
240802;1100;;16;;
240802;1200;;10;;
240802;1300;;15;;
240802;1400;;17;;
240802;1500;;16;;
240802;1600;;23;;
240802;1700;;16;;
240802;1800;;25;;
240802;1900;;26;;
240802;2000;;34;;
240802;2100;;35;;
240802;2200;;15;;
240802;2300;;24;;
240803;0000;;17;;
240803;0100;;16;;
240803;0200;;12;;
240803;0300;;9;;
240803;0400;;9;;
240803;0500;;7;;
240803;0600;;5;;
240803;0700;;8;;
240803;0800;;10;;
240803;0900;;16;;
240803;1000;;29;;
240803;1100;;20;;
240803;1200;;16;;
240803;1300;;30;;
240803;1400;;23;;
240803;1500;;24;;
240803;1600;;21;;
240803;1700;;34;;
240803;1800;;91;;
240803;1900;;160;;
240803;2000;;170;;
240803;2100;;217;;
240803;2200;;106;;
240803;2300;;284;;
240804;0000;;238;;
240804;0100;;158;;
240804;0200;;198;;
240804;0300;;161;;
240804;0400;;74;;
240804;0500;;19;;
240804;0600;;9;;
240804;0700;;6;;
240804;0800;;9;;
240804;0900;;9;;
240804;1000;;7;;
240804;1100;;6;;
240804;1200;;9;;
240804;1300;;7;;
240804;1400;;4;;
240804;1500;;8;;
240804;1600;;5;;
240804;1700;;6;;
240804;1800;;4;;
240804;1900;;3;;
240804;2000;;4;;
240804;2100;;10;;
240804;2200;;12;;
240804;2300;;9;;
240805;0000;;27;;
240805;0100;;11;;
240805;0200;;8;;
240805;0300;;10;;
240805;0400;;5;;
240805;0500;;6;;
240805;0600;;10;;
240805;0700;;8;;
240805;0800;;8;;
240805;0900;;7;;
240805;1000;;6;;
240805;1100;;12;;
240805;1200;;9;;
240805;1300;;15;;
240805;1400;;34;;
240805;1500;;25;;
240805;1600;;15;;
240805;1700;;17;;
240805;1800;;42;;
240805;1900;;69;;
240805;2000;;80;;
240805;2100;;56;;
240805;2200;;46;;
240805;2300;;28;;
240806;0000;;66;;
240806;0100;;49;;
240806;0200;;28;;
240806;0300;;12;;
240806;0400;;15;;
240806;0500;;18;;
240806;0600;;25;;
240806;0700;;14;;
240806;0800;;22;;
240806;0900;;12;;
240806;1000;;11;;
240806;1100;;17;;
240806;1200;;11;;
240806;1300;;16;;
240806;1400;;6;;
240806;1500;;11;;
240806;1600;;8;;
240806;1700;;39;;
240806;1800;;186;;
240806;1900;;209;;
240806;2000;;192;;
240806;2100;;214;;
240806;2200;;144;;
240806;2300;;108;;
240807;0000;;135;;
240807;0100;;94;;
240807;0200;;78;;
240807;0300;;72;;
240807;0400;;39;;
240807;0500;;34;;
240807;0600;;40;;
240807;0700;;60;;
240807;0800;;88;;
240807;0900;;40;;
240807;1000;;21;;
240807;1100;;14;;
240807;1200;;19;;
240807;1300;;11;;
240807;1400;;11;;
240807;1500;;12;;
240807;1600;;19;;
240807;1700;;36;;
240807;1800;;52;;
240807;1900;;67;;
240807;2000;;63;;
240807;2100;;93;;
240807;2200;;132;;
240807;2300;;69;;
240808;0000;;108;;
240808;0100;;45;;
240808;0200;;79;;
240808;0300;;44;;
240808;0400;;37;;
240808;0500;;31;;
240808;0600;;29;;
240808;0700;;81;;
240808;0800;;103;;
240808;0900;;72;;
240808;1000;;19;;
240808;1100;;6;;
240808;1200;;10;;
240808;1300;;14;;
240808;1400;;10;;
240808;1500;;12;;
240808;1600;;17;;
240808;1700;;41;;
240808;1800;;72;;
240808;1900;;77;;
240808;2000;;67;;
240808;2100;;122;;
240808;2200;;249;;
240808;2300;;189;;
240809;0000;;200;;
240809;0100;;136;;
240809;0200;;81;;
240809;0300;;79;;
240809;0400;;76;;
240809;0500;;46;;
240809;0600;;66;;
240809;0700;;108;;
240809;0800;;151;;
240809;0900;;5;;
240809;1000;;10;;
240809;1100;;9;;
240809;1200;;7;;
240809;1300;;7;;
240809;1400;;8;;
240809;1500;;18;;
240809;1600;;9;;
240809;1700;;45;;
240809;1800;;49;;
240809;1900;;49;;
240809;2000;;73;;
240809;2100;;80;;
240809;2200;;90;;
240809;2300;;137;;
240810;0000;;24;;
240810;0100;;50;;
240810;0200;;37;;
240810;0300;;32;;
240810;0400;;25;;
240810;0500;;9;;
240810;0600;;17;;
240810;0700;;1;;
240810;0800;;13;;
240810;0900;;11;;
240810;1000;;20;;
240810;1100;;19;;
240810;1200;;20;;
240810;1300;;21;;
240810;1400;;17;;
240810;1500;;23;;
240810;1600;;18;;
240810;1700;;33;;
240810;1800;;41;;
240810;1900;;27;;
240810;2000;;53;;
240810;2100;;64;;
240810;2200;;39;;
240810;2300;;38;;
240811;0000;;32;;
240811;0100;;57;;
240811;0200;;160;;
240811;0300;;46;;
240811;0400;;32;;
240811;0500;;26;;
240811;0600;;37;;
240811;0700;;37;;
240811;0800;;74;;
240811;0900;;27;;
240811;1000;;5;;
240811;1100;;3;;
240811;1200;;7;;
240811;1300;;7;;
240811;1400;;12;;
240811;1500;;12;;
240811;1600;;18;;
240811;1700;;29;;
240811;1800;;46;;
240811;1900;;53;;
240811;2000;;79;;
240811;2100;;85;;
240811;2200;;46;;
240811;2300;;66;;
240812;0000;;36;;
240812;0100;;35;;
240812;0200;;32;;
240812;0300;;18;;
240812;0400;;15;;
240812;0500;;12;;
240812;0600;;19;;
240812;0700;;39;;
240812;0800;;73;;
240812;0900;;25;;
240812;1000;;8;;
240812;1100;;20;;
240812;1200;;;;
240812;1300;;;;
240812;1400;;15;;
240812;1500;;14;;
240812;1600;;23;;
240812;1700;;35;;
240812;1800;;163;;
240812;1900;;370;;
240812;2000;;291;;
240812;2100;;276;;
240812;2200;;261;;
240812;2300;;269;;
240813;0000;;163;;
240813;0100;;136;;
240813;0200;;147;;
240813;0300;;87;;
240813;0400;;52;;
240813;0500;;59;;
240813;0600;;75;;
240813;0700;;102;;
240813;0800;;128;;
240813;0900;;141;;
240813;1000;;54;;
240813;1100;;24;;
240813;1200;;34;;
240813;1300;;26;;
240813;1400;;20;;
240813;1500;;19;;
240813;1600;;24;;
240813;1700;;31;;
240813;1800;;68;;
240813;1900;;91;;
240813;2000;;52;;
240813;2100;;143;;
240813;2200;;83;;
240813;2300;;220;;
240814;0000;;78;;
240814;0100;;30;;
240814;0200;;42;;
240814;0300;;48;;
240814;0400;;9;;
240814;0500;;8;;
240814;0600;;16;;
240814;0700;;30;;
240814;0800;;41;;
240814;0900;;20;;
240814;1000;;20;;
240814;1100;;1;;
240814;1200;;3;;
240814;1300;;3;;
240814;1400;;1;;
240814;1500;;4;;
240814;1600;;5;;
240814;1700;;6;;
240814;1800;;51;;
240814;1900;;493;;
240814;2000;;303;;
240814;2100;;411;;
240814;2200;;272;;
240814;2300;;254;;
240815;0000;;205;;
240815;0100;;128;;
240815;0200;;135;;
240815;0300;;71;;
240815;0400;;56;;
240815;0500;;36;;
240815;0600;;46;;
240815;0700;;59;;
240815;0800;;101;;
240815;0900;;32;;
240815;1000;;10;;
240815;1100;;18;;
240815;1200;;38;;
240815;1300;;10;;
240815;1400;;12;;
240815;1500;;11;;
240815;1600;;21;;
240815;1700;;31;;
240815;1800;;58;;
240815;1900;;104;;
240815;2000;;102;;
240815;2100;;238;;
240815;2200;;189;;
240815;2300;;161;;
240816;0000;;149;;
240816;0100;;127;;
240816;0200;;75;;
240816;0300;;82;;
240816;0400;;38;;
240816;0500;;33;;
240816;0600;;34;;
240816;0700;;51;;
240816;0800;;38;;
240816;0900;;35;;
240816;1000;;24;;
240816;1100;;26;;
240816;1200;;21;;
240816;1300;;14;;
240816;1400;;12;;
240816;1500;;13;;
240816;1600;;19;;
240816;1700;;24;;
240816;1800;;139;;
240816;1900;;234;;
240816;2000;;316;;
240816;2100;;145;;
240816;2200;;144;;
240816;2300;;209;;
240817;0000;;193;;
240817;0100;;104;;
240817;0200;;128;;
240817;0300;;60;;
240817;0400;;24;;
240817;0500;;82;;
240817;0600;;37;;
240817;0700;;75;;
240817;0800;;68;;
240817;0900;;7;;
240817;1000;;22;;
240817;1100;;9;;
240817;1200;;16;;
240817;1300;;12;;
240817;1400;;8;;
240817;1500;;10;;
240817;1600;;18;;
240817;1700;;28;;
240817;1800;;57;;
240817;1900;;112;;
240817;2000;;120;;
240817;2100;;135;;
240817;2200;;94;;
240817;2300;;109;;
240818;0000;;62;;
240818;0100;;72;;
240818;0200;;47;;
240818;0300;;42;;
240818;0400;;31;;
240818;0500;;31;;
240818;0600;;14;;
240818;0700;;16;;
240818;0800;;16;;
240818;0900;;12;;
240818;1000;;14;;
240818;1100;;15;;
240818;1200;;13;;
240818;1300;;21;;
240818;1400;;14;;
240818;1500;;17;;
240818;1600;;14;;
240818;1700;;29;;
240818;1800;;70;;
240818;1900;;283;;
240818;2000;;206;;
240818;2100;;188;;
240818;2200;;213;;
240818;2300;;177;;
240819;0000;;101;;
240819;0100;;91;;
240819;0200;;83;;
240819;0300;;54;;
240819;0400;;42;;
240819;0500;;30;;
240819;0600;;10;;
240819;0700;;5;;
240819;0800;;2;;
240819;0900;;1;;
240819;1000;;1;;
240819;1100;;2;;
240819;1200;;2;;
240819;1300;;2;;
240819;1400;;5;;
240819;1500;;19;;
240819;1600;;26;;
240819;1700;;28;;
240819;1800;;50;;
240819;1900;;81;;
240819;2000;;27;;
240819;2100;;30;;
240819;2200;;86;;
240819;2300;;278;;
240820;0000;;256;;
240820;0100;;158;;
240820;0200;;83;;
240820;0300;;61;;
240820;0400;;55;;
240820;0500;;44;;
240820;0600;;58;;
240820;0700;;90;;
240820;0800;;171;;
240820;0900;;45;;
240820;1000;;22;;
240820;1100;;10;;
240820;1200;;13;;
240820;1300;;12;;
240820;1400;;9;;
240820;1500;;8;;
240820;1600;;14;;
