TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532143603
Test ID:,001
Test Abbreviation:,TEST 1 LONCO_001
Start Date:,19-08-2024
Start Time:,20:04:24
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,62
Notes:,

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,-0.007
,Minimum:,-0.008
,Time of Minimum:,20:05:01
,Date of Minimum:,19-08-2024
,Maximum:,-0.001
,Time of Maximum:,20:04:25
,Date of Maximum:,19-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,03-09-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
19-08-2024,20:04:25,-0.001
19-08-2024,20:04:26,-0.002
19-08-2024,20:04:27,-0.002
19-08-2024,20:04:28,-0.003
19-08-2024,20:04:29,-0.004
19-08-2024,20:04:30,-0.004
19-08-2024,20:04:31,-0.004
19-08-2024,20:04:32,-0.005
19-08-2024,20:04:33,-0.005
19-08-2024,20:04:34,-0.005
19-08-2024,20:04:35,-0.005
19-08-2024,20:04:36,-0.005
19-08-2024,20:04:37,-0.006
19-08-2024,20:04:38,-0.006
19-08-2024,20:04:39,-0.006
19-08-2024,20:04:40,-0.006
19-08-2024,20:04:41,-0.006
19-08-2024,20:04:42,-0.006
19-08-2024,20:04:43,-0.006
19-08-2024,20:04:44,-0.007
19-08-2024,20:04:45,-0.007
19-08-2024,20:04:46,-0.007
19-08-2024,20:04:47,-0.007
19-08-2024,20:04:48,-0.007
19-08-2024,20:04:49,-0.007
19-08-2024,20:04:50,-0.007
19-08-2024,20:04:51,-0.007
19-08-2024,20:04:52,-0.007
19-08-2024,20:04:53,-0.007
19-08-2024,20:04:54,-0.007
19-08-2024,20:04:55,-0.007
19-08-2024,20:04:56,-0.007
19-08-2024,20:04:57,-0.007
19-08-2024,20:04:58,-0.007
19-08-2024,20:04:59,-0.007
19-08-2024,20:05:00,-0.007
19-08-2024,20:05:01,-0.008
19-08-2024,20:05:02,-0.008
19-08-2024,20:05:03,-0.008
19-08-2024,20:05:04,-0.008
19-08-2024,20:05:05,-0.008
19-08-2024,20:05:06,-0.008
19-08-2024,20:05:07,-0.008
19-08-2024,20:05:08,-0.008
19-08-2024,20:05:09,-0.008
19-08-2024,20:05:10,-0.008
19-08-2024,20:05:11,-0.008
19-08-2024,20:05:12,-0.008
19-08-2024,20:05:13,-0.008
19-08-2024,20:05:14,-0.008
19-08-2024,20:05:15,-0.008
19-08-2024,20:05:16,-0.008
19-08-2024,20:05:17,-0.008
19-08-2024,20:05:18,-0.008
19-08-2024,20:05:19,-0.008
19-08-2024,20:05:20,-0.008
19-08-2024,20:05:21,-0.008
19-08-2024,20:05:22,-0.008
19-08-2024,20:05:23,-0.008
19-08-2024,20:05:24,-0.008
19-08-2024,20:05:25,-0.008
19-08-2024,20:05:26,-0.008

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532143603
Test ID:,002
Test Abbreviation:,TEST 1 LONCO_002
Start Date:,19-08-2024
Start Time:,20:06:01
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,189
Notes:,

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.012
,Minimum:,0.010
,Time of Minimum:,20:07:37
,Date of Minimum:,19-08-2024
,Maximum:,0.015
,Time of Maximum:,20:06:03
,Date of Maximum:,19-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,03-09-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
19-08-2024,20:06:02,0.014
19-08-2024,20:06:03,0.015
19-08-2024,20:06:04,0.015
19-08-2024,20:06:05,0.013
19-08-2024,20:06:06,0.013
19-08-2024,20:06:07,0.013
19-08-2024,20:06:08,0.013
19-08-2024,20:06:09,0.013
19-08-2024,20:06:10,0.013
19-08-2024,20:06:11,0.012
19-08-2024,20:06:12,0.013
19-08-2024,20:06:13,0.013
19-08-2024,20:06:14,0.013
19-08-2024,20:06:15,0.013
19-08-2024,20:06:16,0.013
19-08-2024,20:06:17,0.013
19-08-2024,20:06:18,0.013
19-08-2024,20:06:19,0.012
19-08-2024,20:06:20,0.012
19-08-2024,20:06:21,0.013
19-08-2024,20:06:22,0.012
19-08-2024,20:06:23,0.012
19-08-2024,20:06:24,0.013
19-08-2024,20:06:25,0.013
19-08-2024,20:06:26,0.014
19-08-2024,20:06:27,0.014
19-08-2024,20:06:28,0.013
19-08-2024,20:06:29,0.013
19-08-2024,20:06:30,0.013
19-08-2024,20:06:31,0.013
19-08-2024,20:06:32,0.013
19-08-2024,20:06:33,0.013
19-08-2024,20:06:34,0.013
19-08-2024,20:06:35,0.013
19-08-2024,20:06:36,0.012
19-08-2024,20:06:37,0.012
19-08-2024,20:06:38,0.012
